Trimestre 2016-2017,Nom du vendeur,Numéro de référence,Date d'attribution du contrat,Devis descriptif,Durée du contrat,Valeur du contrat,Commentaires
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=34992,2KEYS CORPORATION,2662949-7317777,5,2016-05-12,0473 - Experts-conseils en TI et en télécommunications,2014-02-06 au 2016-02-28,"1 024 345,00 $","332 220,00 $","332 220,00 $","Le présent marché comprend une modification ou plus - Marché concurrentiel - SPICT AMA, Analyste de la C et A et des EMR en sécurité des TI, Niveau supérieur"
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=36711,2nd Avenue Flight Centre,2785449-7362866,2016-06-23,5399 - Augmentations ou diminuition nette de comptes débiteurs,2016-06-23 au 2016-09-28,"11 456,59 $",Marché non-concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35638,360 Secure Corp.,760195913-7359991,2016-06-21,1245 - Matières et pièces de la sécurité et de la sanitation,2016-06-21 au 2017-03-31,"11 300,00 $",Marché non-concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35275,360 Secure Corp.,308485713-7358055,2016-05-06,1245 - Matières et pièces de la sécurité et de la sanitation,2016-05-06 au 2016-05-19,"24 148,00 $",Marché non-concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35221,360 Secure Corp.,684345713-7357739,2016-04-28,1245 - Matières et pièces de la sécurité et de la sanitation,2016-04-28 au 2016-05-08,"24 115,00 $",Marché non-concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35113,360 Secure Corp.,71575713-7356980,2016-04-07,1245 - Matières et pièces de la sécurité et de la sanitation,2016-04-07 au 2017-04-18,"22 148,00 $",Marché concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35788,3755479 Canada Inc,533301210-7349804,5,2016-06-22,0473 - Experts-conseils en TI et en télécommunications,2015-11-09 au 2016-07-04,"251 698,68 $","43 646,24 $","208 052,44 $","Marché concurrentiel - Spécialistes, service de dépannage, niveau 2 - Le présent marché comprend une modification ou plus."
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35084,3820840 Canada Inc.,20005713-7356657,2016-04-01,0351 - Les services professionnels de communication non spécifiés ailleurs,2016-04-01 au 2016-12-31,"24 973,00 $",Commande subséquente à une offre à commande - Réviseurs sur appel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=36671,417 BUS LINE LTD,52937439-7360700,2016-06-29,0540 - Location de véhicules automobiles et d'autres véhicules,2016-06-29 au 2016-06-29,"33 900,00 $",Marché concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35774,9089-4288 Québec Inc. - SAVM,763382610-7222176,11,2016-05-24,0491 - Services de conseillers en gestion,2010-07-01 au 2013-06-30,"1 665 490,85 $","45 200,00 $","703 116,23 $","Marché concurrentiel - Services de bienvenue aux dignitaires à l'aéroport LBP, Toronto. Le présent marché comprend une modification ou plus."
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35386,92085497 QC INC,277165813-7358613,2016-05-19,"1246 - Meubles de bureau et fourniture, incluant des pièces",2016-05-19 au 2016-05-27,"19 177,75 $",Marché concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35065,A & P MAINTENANCE SERVICES PTE LTD,997535613-7356152,2016-04-01,0811 - Nettoyage d'immeubles à contrat,2016-04-01 au 2017-03-31,"52 531,26 $",Marché concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35342,ABELIN SA,13655813-7358433,2016-05-16,0630 - Édifices à bureaux,2016-05-16 au 2016-08-31,"11 383,11 $",Marché non-concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35134,ABM Janitorial Services,825125713-7357134,2016-05-01,0811 - Nettoyage d'immeubles à contrat,2016-05-01 au 2017-04-30,"15 386,00 $",Marché non-concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35338,ABM JANITORIAL SVCS NEAST INC.,12145813-7358404,2016-05-13,0811 - Nettoyage d'immeubles à contrat,2016-05-13 au 2017-03-31,"18 949,35 $",Marché non-concurrentiel
1,http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35335,ABM JANITORIAL SVCS NEAST INC.,37135813-7358401,2016-05-13,0811 - Nettoyage d'immeubles à contrat,2016-05-13 au 2017-03-31,"18 949,35 $",Marché non-concurrentiel
